SP-115 sweep, 47 mutation(s)
M-c  SURVIVED  client/src/CcpClient.Desktop/Glyph/GlyphFrame.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-g  CAUGHT  client/src/CcpClient.Desktop/Glyph/GlyphSurfaceRequest.cs  Failed!  - Failed:     1, Passed:   241, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-h  CAUGHT  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Failed!  - Failed:     1, Passed:   241, Skipped:     0, Total:   242, Duration: 2 s - CcpClient.Tests.dll (net10.0)
M-i  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 2 s - CcpClient.Tests.dll (net10.0)
M-j  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-k  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-l  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-m  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-n  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-o  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-p  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-q  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-r  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-t  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-u  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-w  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-x  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-y  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-z  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
M-ac  SURVIVED  client/src/CcpClient.Desktop/Glyph/Win32GlyphSurface.cs  Passed!  - Failed:     0, Passed:   242, Skipped:     0, Total:   242, Duration: 1 s - CcpClient.Tests.dll (net10.0)
